Date,XOM,CVX
2015-01-30,54.18046188354492,63.32252883911133
2015-02-02,55.5191650390625,65.50263977050781
2015-02-03,57.173954010009766,67.64569854736328
2015-02-04,56.684326171875,66.91694641113281
2015-02-05,57.24213409423828,67.50984954833984
2015-02-06,57.135986328125,67.69512176513672
2015-02-09,57.17343521118164,68.20154571533203
2015-02-10,56.830013275146484,68.0471420288086
2015-02-11,56.573978424072266,67.92364501953125
2015-02-12,57.67926025390625,69.1397705078125
2015-02-13,58.303672790527344,70.33721923828125
2015-02-17,58.103858947753906,70.10022735595703
2015-02-18,56.830013275146484,68.87783813476562
2015-02-19,55.84965133666992,67.5743637084961
2015-02-20,56.149375915527344,67.73029327392578
2015-02-23,55.58113098144531,67.268798828125
2015-02-24,55.837135314941406,67.3311538696289
2015-02-25,55.949546813964844,67.71781921386719
2015-02-26,55.35634231567383,66.76984405517578
2015-02-27,55.28763961791992,66.53282928466797
2015-03-02,54.97543716430664,66.04643249511719
2015-03-03,54.7131462097168,65.58487701416016
2015-03-04,54.43840408325195,65.58487701416016
2015-03-05,54.163639068603516,65.31668853759766
2015-03-06,53.470523834228516,64.58076477050781
2015-03-09,53.177040100097656,64.8302230834961
2015-03-10,52.61507034301758,64.18160247802734
2015-03-11,52.465179443359375,64.57453918457031
2015-03-12,52.5900764465332,63.87604904174805
2015-03-13,52.37154006958008,63.37709045410156
2015-03-16,52.927284240722656,64.31883239746094
2015-03-17,52.502655029296875,64.34378814697266
2015-03-18,53.745269775390625,66.54531860351562
2015-03-19,52.70872497558594,65.32917785644531
2015-03-20,52.7899055480957,66.75115966796875
2015-03-23,53.34563446044922,66.05886840820312
2015-03-24,52.77739715576172,64.98614501953125
2015-03-25,52.98972702026367,65.9029541015625
2015-03-26,52.65251922607422,65.64099884033203
2015-03-27,52.1904411315918,65.03604888916016
2015-03-30,53.470523834228516,66.6700439453125
2015-03-31,53.077125549316406,65.47261810302734
2015-04-01,52.73993682861328,65.3541259765625
2015-04-02,52.64003372192383,65.65972137451172
2015-04-06,53.15829849243164,66.6825180053711
2015-04-07,53.54545974731445,67.69288635253906
2015-04-08,52.49016571044922,66.52037048339844
2015-04-09,52.85857391357422,66.70124053955078
2015-04-10,53.426822662353516,66.6762924194336
2015-04-13,53.2894401550293,66.42060089111328
2015-04-14,54.0949821472168,67.87996673583984
2015-04-15,55.00041198730469,68.85912322998047
2015-04-16,54.7818489074707,68.70320892333984
2015-04-17,54.28230285644531,68.04835510253906
2015-04-20,54.47587585449219,68.7843017578125
2015-04-21,54.25107955932617,68.43504333496094
2015-04-22,54.613243103027344,68.29159545898438
2015-04-23,54.6632080078125,68.58473205566406
2015-04-24,54.30727767944336,68.5223388671875
2015-04-27,54.33226013183594,68.41633605957031
2015-04-28,54.8255500793457,69.30195617675781
2015-04-29,54.86927032470703,69.68236541748047
2015-04-30,54.557037353515625,69.26451110839844
2015-05-01,55.48121643066406,68.00468444824219
2015-05-04,55.64358901977539,67.5556640625
2015-05-05,55.331336975097656,67.35608673095703
2015-05-06,55.069091796875,67.3249282836914
2015-05-07,54.700679779052734,67.08793640136719
2015-05-08,55.56865692138672,67.76148223876953
2015-05-11,54.6368522644043,66.95694732666016
2015-05-12,54.78794479370117,67.08167266845703
2015-05-13,54.49833297729492,67.16899108886719
2015-05-14,54.756465911865234,67.63674926757812
2015-05-15,54.99571228027344,68.04618835449219
2015-05-18,54.680904388427734,67.17694091796875
2015-05-19,54.769046783447266,66.15021514892578
2015-05-20,54.85718536376953,66.29510498046875
2015-05-21,54.907554626464844,66.44628143310547
2015-05-22,54.47313690185547,66.06832885742188
2015-05-26,53.73649978637695,65.06055450439453
2015-05-27,53.58538818359375,64.9471664428711
2015-05-28,53.58538818359375,65.02901458740234
2015-05-29,53.64205551147461,64.87786102294922
2015-06-01,53.59798049926758,64.64479064941406
2015-06-02,53.60429382324219,64.6133041381836
2015-06-03,53.48464584350586,64.35504913330078
2015-06-04,53.025054931640625,63.863746643066406
2015-06-05,53.062828063964844,63.98971939086914
2015-06-08,53.421714782714844,63.25275802612305
2015-06-09,53.251708984375,63.25275802612305
2015-06-10,53.64836120605469,64.14088439941406
2015-06-11,53.57278060913086,63.69367599487305
2015-06-12,52.89913558959961,62.906341552734375
2015-06-15,52.71024703979492,62.54098892211914
2015-06-16,53.31464385986328,63.01341247558594
2015-06-17,53.34613800048828,62.8370361328125
2015-06-18,53.81834030151367,63.14567565917969
2015-06-19,53.64836120605469,62.65437698364258
2015-06-22,53.62318420410156,63.17089080810547
2015-06-23,53.56019973754883,63.04490661621094
2015-06-24,53.31464385986328,62.528404235839844
2015-06-25,52.84245681762695,61.942596435546875
2015-06-26,52.79840087890625,62.106361389160156
2015-06-29,52.14360809326172,60.90330123901367
2015-06-30,52.382843017578125,60.764732360839844
2015-07-01,51.86027526855469,60.5253791809082
2015-07-02,52.3450813293457,60.38682174682617
2015-07-06,51.96100997924805,59.69393539428711
2015-07-07,52.175106048583984,60.00886917114258
2015-07-08,51.60844421386719,58.931766510009766
2015-07-09,51.37549591064453,59.07036209106445
2015-07-10,51.76585006713867,59.467185974121094
2015-07-13,51.89177322387695,59.586875915527344
2015-07-14,52.326175689697266,60.18523406982422
2015-07-15,52.10582733154297,59.3600959777832
2015-07-16,52.20025634765625,59.51128387451172
2015-07-17,52.01140594482422,58.67351531982422
2015-07-20,51.476234436035156,58.541259765625
2015-07-21,51.41327667236328,59.14592361450195
2015-07-22,51.495121002197266,58.900272369384766
2015-07-23,51.085880279541016,58.541259765625
2015-07-24,50.330326080322266,57.06731414794922
2015-07-27,49.9022216796875,56.14768981933594
2015-07-28,51.9295539855957,58.20108413696289
2015-07-29,52.3450813293457,58.73651123046875
2015-07-30,52.263221740722656,58.59792709350586
